s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-1.0679431E-007,-2.5681310E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0705112E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.7032804E-001, 4.4637343E+000,-4.9811032E-001, 6.6634799E-002,-3.4682259E-002,-5.9789168E-004, 0.0000000E+000, 0.0000000E+000, 2.5721775E+000, 3.9969786E+000, 0.0000000E+000, 1.3496524E-004, 0.0000000E+000
 6.8584120E-001, 1.8079625E+001,-6.7095454E+000, 1.8354115E-001,-3.1062844E-001,-1.7245486E-003, 0.0000000E+000, 0.0000000E+000, 1.0689472E+001, 1.1241268E+001, 0.0000000E+000, 3.2986152E-004, 0.0000000E+000
 1.0046123E+000, 2.2449970E+001,-4.0701091E+000, 3.0824433E-001,-1.8064594E-001,-2.4817978E-003, 0.0000000E+000, 0.0000000E+000, 1.8175837E+001, 1.8504978E+001, 0.0000000E+000, 4.5845891E-004, 0.0000000E+000
 1.3390824E+000, 2.6019137E+001,-4.7753296E+000, 3.4941797E-001,-3.0806290E-001,-2.8812182E-003, 0.0000000E+000, 0.0000000E+000, 2.1191999E+001, 2.1282281E+001, 0.0000000E+000, 5.4744529E-004, 0.0000000E+000
 1.6686972E+000, 2.9620978E+001,-5.4147384E+000, 3.9948298E-001,-3.4987419E-001,-3.1850862E-003, 0.0000000E+000, 0.0000000E+000, 2.4187277E+001, 2.4252663E+001, 0.0000000E+000, 6.0125995E-004, 0.0000000E+000
 2.0025563E+000, 3.0957936E+001,-5.6496434E+000, 4.2180978E-001,-3.5237533E-001,-3.3265470E-003, 0.0000000E+000, 0.0000000E+000, 2.5352075E+001, 2.5374401E+001, 0.0000000E+000, 6.3100491E-004, 0.0000000E+000
 2.3356471E+000, 3.2190439E+001,-5.9196412E+000, 3.8006121E-001,-3.5378380E-001,-3.4099760E-003, 0.0000000E+000, 0.0000000E+000, 2.6290124E+001, 2.6293666E+001, 0.0000000E+000, 6.4698889E-004, 0.0000000E+000
 2.6666679E+000, 3.2471881E+001,-5.9957935E+000,-2.5785950E+001,-4.9716225E-001,-3.4487324E-003, 0.0000000E+000, 0.0000000E+000, 4.6957889E-001, 1.8952663E-001, 0.0000000E+000, 6.5534562E-004, 0.0000000E+000
 3.0064106E+000, 3.2632782E+001,-6.0204297E+000,-2.4866099E+001,-6.0381540E-001,-3.4665983E-003, 0.0000000E+000, 0.0000000E+000, 1.1358212E+000, 1.1389711E+000, 0.0000000E+000, 6.5971604E-004, 0.0000000E+000
 3.3361371E+000, 3.2775885E+001,-6.0522860E+000,-2.0772387E+001,-4.4801317E-001,-3.4718007E-003, 0.0000000E+000, 0.0000000E+000, 5.5281437E+000, 5.4997271E+000, 0.0000000E+000, 6.6196363E-004, 0.0000000E+000
 3.6671703E+000, 3.3080092E+001,-6.0587995E+000,-2.4550475E+001,-4.0756890E-001,-3.5002405E-003, 0.0000000E+000, 0.0000000E+000, 2.0526042E+000, 2.0597487E+000, 0.0000000E+000, 6.6310243E-004, 0.0000000E+000
 4.0019479E+000, 3.2791386E+001,-5.9901212E+000,-2.6105944E+001,-3.9896134E-001,-3.4986312E-003, 0.0000000E+000, 0.0000000E+000, 3.1141199E-001, 2.9286019E-001, 0.0000000E+000, 6.6369527E-004, 0.0000000E+000
 4.3363647E+000, 3.3237534E+001,-6.0833615E+000,-2.4780710E+001,-4.0136176E-001,-3.5228764E-003, 0.0000000E+000, 0.0000000E+000, 1.8522734E+000, 1.9685778E+000, 0.0000000E+000, 6.6400119E-004, 0.0000000E+000
 4.6677051E+000, 3.2861221E+001,-6.0102972E+000,-1.6175966E+001,-3.9638429E-001,-3.5242965E-003, 0.0000000E+000, 0.0000000E+000, 1.0236838E+001, 1.0275049E+001, 0.0000000E+000, 6.6415746E-004, 0.0000000E+000
 5.0034046E+000, 3.3346711E+001,-6.1194219E+000,-2.1384452E+001,-4.0034314E-001,-3.5551348E-003, 0.0000000E+000, 0.0000000E+000, 5.6479213E+000, 5.4389383E+000, 0.0000000E+000, 6.6423782E-004, 0.0000000E+000
 5.3394771E+000, 3.3279723E+001,-6.1167698E+000,-3.3842793E+001,-4.7281487E-001,-3.5530891E-003, 0.0000000E+000, 0.0000000E+000,-7.3284388E+000,-7.1562069E+000, 0.0000000E+000, 6.6427932E-004, 0.0000000E+000
 5.6711001E+000, 3.2884087E+001,-6.0341624E+000,-2.1517249E+001,-4.8156036E-001,-3.5630935E-003, 0.0000000E+000, 0.0000000E+000, 4.8292276E+000, 4.8475519E+000, 0.0000000E+000, 6.6430042E-004, 0.0000000E+000
 6.0062761E+000, 3.2965135E+001,-6.0183615E+000,-1.8848174E+001,-4.6125496E-001,-3.5672369E-003, 0.0000000E+000, 0.0000000E+000, 7.6507281E+000, 7.6337772E+000, 0.0000000E+000, 6.6431123E-004, 0.0000000E+000
 6.3345695E+000, 3.3101576E+001,-6.0388363E+000,-2.1553214E+001,-4.5031957E-001,-3.5601867E-003, 0.0000000E+000, 0.0000000E+000, 5.0238330E+000, 5.0556459E+000, 0.0000000E+000, 6.6431676E-004, 0.0000000E+000
 6.6685061E+000, 3.2943225E+001,-6.0643237E+000,-1.7899950E+001,-4.7803553E-001,-3.5816399E-003, 0.0000000E+000, 0.0000000E+000, 8.4267273E+000, 8.4973340E+000, 0.0000000E+000, 6.6431960E-004, 0.0000000E+000
 7.0003290E+000, 3.2814695E+001,-6.0099493E+000,-1.8265381E+001,-4.9559815E-001,-3.5509629E-003, 0.0000000E+000, 0.0000000E+000, 8.1183731E+000, 8.0402154E+000, 0.0000000E+000, 6.6432107E-004, 0.0000000E+000
 7.3368330E+000, 3.3111647E+001,-6.1644932E+000,-2.5730899E+001,-5.1800907E-001,-3.5534157E-003, 0.0000000E+000, 0.0000000E+000, 7.4265269E-001, 6.9469197E-001, 0.0000000E+000, 6.6432183E-004, 0.0000000E+000
 7.6701722E+000, 3.3193369E+001,-6.0785106E+000,-3.3053903E+001,-4.7696942E-001,-3.5477850E-003, 0.0000000E+000, 0.0000000E+000,-6.2689894E+000,-6.4195622E+000, 0.0000000E+000, 6.6432222E-004, 0.0000000E+000
 8.0064754E+000, 3.2979993E+001,-6.0786861E+000,-3.2811891E+001,-4.8726416E-001,-3.5447053E-003, 0.0000000E+000, 0.0000000E+000,-6.5777218E+000,-6.4013928E+000, 0.0000000E+000, 6.6432242E-004, 0.0000000E+000
 8.3365717E+000, 3.2687828E+001,-5.9873684E+000,-2.9150995E+001,-4.5995413E-001,-3.5363079E-003, 0.0000000E+000, 0.0000000E+000,-2.8474217E+000,-2.9140251E+000, 0.0000000E+000, 6.6432252E-004, 0.0000000E+000
 8.6712618E+000, 3.3038548E+001,-6.0506992E+000,-3.0146024E+001,-4.5672645E-001,-3.5310398E-003, 0.0000000E+000, 0.0000000E+000,-3.6949791E+000,-3.6184332E+000, 0.0000000E+000, 6.6432257E-004, 0.0000000E+000
 9.0027466E+000, 3.2968940E+001,-5.9979134E+000,-2.5675083E+001,-4.2229605E-001,-3.5430841E-003, 0.0000000E+000, 0.0000000E+000, 9.4489431E-001, 8.7010432E-001, 0.0000000E+000, 6.6432260E-004, 0.0000000E+000
 9.3385134E+000, 3.2923204E+001,-6.0386405E+000,-2.7554063E+001,-4.4129161E-001,-3.5327649E-003, 0.0000000E+000, 0.0000000E+000,-1.1629315E+000,-1.1143235E+000, 0.0000000E+000, 6.6432261E-004, 0.0000000E+000
 9.6735182E+000, 3.3045265E+001,-6.0552039E+000,-2.1292486E+001,-4.1757338E-001,-3.5341793E-003, 0.0000000E+000, 0.0000000E+000, 5.1780287E+000, 5.2764673E+000, 0.0000000E+000, 6.6432262E-004, 0.0000000E+000
 1.0005852E+001, 3.2908086E+001,-6.0524136E+000,-2.5902890E+001,-4.1950710E-001,-3.5405028E-003, 0.0000000E+000, 0.0000000E+000, 5.7805495E-001, 5.2973498E-001, 0.0000000E+000, 6.6432262E-004, 0.0000000E+000
 1.0336148E+001, 3.3101944E+001,-6.0801981E+000,-2.5145852E+001,-4.2196174E-001,-3.5379104E-003, 0.0000000E+000, 0.0000000E+000, 1.4253793E+000, 1.4503944E+000, 0.0000000E+000, 6.6432262E-004, 0.0000000E+000
 1.0670349E+001, 3.2895132E+001,-6.0420812E+000,-2.9128570E+001,-4.3546897E-001,-3.5333887E-003, 0.0000000E+000, 0.0000000E+000,-2.6456427E+000,-2.7145217E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.1007085E+001, 3.3104074E+001,-6.0853315E+000,-2.8163520E+001,-4.3484097E-001,-3.5252089E-003, 0.0000000E+000, 0.0000000E+000,-1.7420297E+000,-1.5831434E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.1334187E+001, 3.3393919E+001,-6.1467469E+000,-2.5537449E+001,-4.3463822E-001,-3.5415436E-003, 0.0000000E+000, 0.0000000E+000, 1.3272588E+000, 1.2715432E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.1672663E+001, 3.2865746E+001,-6.0431347E+000,-2.8472187E+001,-4.1782342E-001,-3.5341493E-003, 0.0000000E+000, 0.0000000E+000,-2.0941557E+000,-2.0709326E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.2004959E+001, 3.2821173E+001,-6.0483838E+000,-2.7365459E+001,-4.2807586E-001,-3.5260853E-003, 0.0000000E+000, 0.0000000E+000,-1.0434589E+000,-1.0242719E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.2333391E+001, 3.3033069E+001,-6.0644412E+000,-3.2839479E+001,-4.4746528E-001,-3.5300277E-003, 0.0000000E+000, 0.0000000E+000,-6.2510017E+000,-6.3218457E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.2668970E+001, 3.3141578E+001,-6.0337930E+000,-3.0001897E+001,-4.4201468E-001,-3.5376325E-003, 0.0000000E+000, 0.0000000E+000,-3.4198727E+000,-3.3396640E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.3003013E+001, 3.3078978E+001,-6.0531880E+000,-2.5700143E+001,-4.5604815E-001,-3.5345592E-003, 0.0000000E+000, 0.0000000E+000, 7.7248385E-001, 8.6606404E-001, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.3338374E+001, 3.2682719E+001,-5.9960921E+000,-1.8494814E+001,-4.2114712E-001,-3.5155929E-003, 0.0000000E+000, 0.0000000E+000, 7.6935597E+000, 7.7671502E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.3672378E+001, 3.3156361E+001,-6.0938532E+000,-2.0072774E+001,-4.0686614E-001,-3.5306162E-003, 0.0000000E+000, 0.0000000E+000, 6.7099355E+000, 6.5793367E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.4005351E+001, 3.2884696E+001,-6.0227014E+000,-3.1031469E+001,-4.1621587E-001,-3.5272530E-003, 0.0000000E+000, 0.0000000E+000,-4.5933025E+000,-4.5892181E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.4337390E+001, 3.2933208E+001,-6.0453677E+000,-2.4943128E+001,-4.3638299E-001,-3.5235697E-003, 0.0000000E+000, 0.0000000E+000, 1.3568845E+000, 1.5048058E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.4672894E+001, 3.3096827E+001,-6.0439055E+000,-2.5694575E+001,-4.1292673E-001,-3.5340557E-003, 0.0000000E+000, 0.0000000E+000, 1.0529058E+000, 9.4188555E-001, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.5002651E+001, 3.3127932E+001,-6.0898727E+000,-3.0206101E+001,-4.3686236E-001,-3.5351453E-003, 0.0000000E+000, 0.0000000E+000,-3.6571313E+000,-3.6084398E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.5340216E+001, 3.2938996E+001,-6.0396624E+000,-2.6362108E+001,-4.2275183E-001,-3.5280859E-003, 0.0000000E+000, 0.0000000E+000, 5.2234064E-002, 1.1094559E-001, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.5671119E+001, 3.3115120E+001,-6.1156906E+000,-2.8720158E+001,-4.3825789E-001,-3.5277992E-003, 0.0000000E+000, 0.0000000E+000,-2.0707211E+000,-2.1625144E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.6002228E+001, 3.3028280E+001,-6.0592520E+000,-2.9266172E+001,-4.4049060E-001,-3.5329571E-003, 0.0000000E+000, 0.0000000E+000,-2.8717478E+000,-2.7411675E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.6335400E+001, 3.2992817E+001,-6.0517837E+000,-2.3305885E+001,-4.2377191E-001,-3.5342362E-003, 0.0000000E+000, 0.0000000E+000, 3.3124640E+000, 3.2078430E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.6668573E+001, 3.3033493E+001,-6.0523936E+000,-3.3437504E+001,-4.2482049E-001,-3.5305546E-003, 0.0000000E+000, 0.0000000E+000,-7.0032841E+000,-6.8847563E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.7003721E+001, 3.3064330E+001,-6.0720745E+000,-2.7508218E+001,-4.3175268E-001,-3.5321360E-003, 0.0000000E+000, 0.0000000E+000,-9.4894790E-001,-9.5124753E-001, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.7339315E+001, 3.2835192E+001,-6.0487452E+000,-2.7928642E+001,-4.1996648E-001,-3.5208757E-003, 0.0000000E+000, 0.0000000E+000,-1.5621727E+000,-1.5656833E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.7672567E+001, 3.2999308E+001,-6.0215140E+000,-2.4891503E+001,-4.1677297E-001,-3.5115202E-003, 0.0000000E+000, 0.0000000E+000, 1.5535312E+000, 1.6660067E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.8002787E+001, 3.3037152E+001,-6.0439455E+000,-2.5007026E+001,-4.0428908E-001,-3.5196526E-003, 0.0000000E+000, 0.0000000E+000, 1.6575677E+000, 1.5783713E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.8338793E+001, 3.2945008E+001,-6.0194361E+000,-2.9522687E+001,-4.0573378E-001,-3.5143765E-003, 0.0000000E+000, 0.0000000E+000,-3.0793166E+000,-3.0063632E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.8670103E+001, 3.2977929E+001,-6.0528853E+000,-2.1309054E+001,-4.1606882E-001,-3.5166477E-003, 0.0000000E+000, 0.0000000E+000, 5.0864043E+000, 5.1964037E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.9005573E+001, 3.2931093E+001,-6.0380014E+000,-2.5782075E+001,-4.0328668E-001,-3.5143347E-003, 0.0000000E+000, 0.0000000E+000, 8.7037354E-001, 7.0421548E-001, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.9336107E+001, 3.3084939E+001,-6.0659119E+000,-2.8667642E+001,-4.1141623E-001,-3.5173837E-003, 0.0000000E+000, 0.0000000E+000,-2.2099070E+000,-2.0635488E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
 1.9666954E+001, 3.3082887E+001,-6.0889008E+000,-2.3087088E+001,-4.1439285E-001,-3.5144651E-003, 0.0000000E+000, 0.0000000E+000, 3.5229507E+000, 3.4889908E+000, 0.0000000E+000, 6.6432263E-004, 0.0000000E+000
